date,manufacturer,distributor,retailer,retailer_state,quantity,z_quantity,flag_volume,flag_frequency,flag_surge,flag_concentration,flag_iforest,iforest_score,anomaly_score,ensemble_proba
2012-08-15,RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,44014,169.642178775714,True,False,False,True,True,0.7859479358168779,3,0.998517719462754
2013-02-21,ABBOTT LABORATORIES,CARDINAL HEALTH INC,HARRIS TEETER PHARMACY #6758 (NC),NC,20000,76.55470120059356,True,True,False,False,True,0.7460505837616614,3,0.9985047352375448
2010-09-26,RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,40642,156.5710130230986,True,False,False,True,True,0.7859479358168779,3,0.998495510015952
2014-06-29,RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,48796,188.1790455102949,True,False,False,True,True,0.7859479358168779,3,0.9984952685950581
2009-12-05,HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,27495,105.60819684586413,True,False,False,True,True,0.7732887158102155,3,0.9984862468570014
2009-06-15,HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,36434,140.25919051805542,True,False,False,True,True,0.782763833443506,3,0.998437587485588
2012-02-06,RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,39545,152.31862013145593,True,False,False,True,True,0.782763833443506,3,0.9984118644173664
2009-05-16,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,PEOPLES PHARMACY #2660 (NC),NC,20000,76.55470120059356,True,True,False,False,True,0.7455459868672627,3,0.998379927820409
2012-09-16,HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,27033,103.81730758794352,True,False,False,True,True,0.774859899521032,3,0.9983757809543755
2014-09-09,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,27899,107.17425585062588,True,False,False,True,True,0.7607266453981751,3,0.9983088446353788
2011-02-21,RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,37454,144.21310186671133,True,False,False,True,True,0.7854163540498982,3,0.9981690326960045
2008-12-04,SANDOZ INC,MORRIS & DICKSON CO LLC,SUNRISE PHARMACY #7243 (WV),WV,20000,76.55470120059356,True,True,False,False,True,0.7430281170992329,3,0.9981450574869344
2009-07-26,HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,43738,168.5722968813718,True,False,True,True,True,0.7886112462640847,4,0.9981359199832899
2010-08-08,RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,42706,164.57186892861407,True,False,True,True,True,0.7902135626033302,4,0.9979762490412776
2009-01-02,ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,42615,164.21911801417517,True,False,False,True,True,0.7731802164540202,3,0.9979622067337367
2014-06-12,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,45435,175.1505199781062,True,False,False,True,True,0.7731802164540202,3,0.9979609904653933
2010-04-16,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,28446,109.29463772093449,True,False,False,True,True,0.7596979470827725,3,0.9979434021215902
2013-07-30,RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,19123,73.15511271748451,True,False,False,True,True,0.7598045544899554,3,0.9978886693577713
2011-07-05,PAR PHARMACEUTICAL INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,41599,160.28071220021988,True,False,False,True,True,0.7773765481596736,3,0.9977361084459264
